id,title,description,link,image_link,additional_image_link,availability,price,sale_price,sale_price_effective_date,google_product_category,brand,MPN,condition,age_group,color,gender,material,size,store_code
001-110-00705,Steel/white Gent's Band Metal,Damascus Wood Grain Blackened 6mm.001 110 00705 070n Steel White Steel  chrisploof Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00705,https://s4.v360.in/images/company/308/imaged/001-110-00705/bA34.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00705/bA36.jpg,in stock,1000,,,200,ChrisPloof,070N,new,adult,White,male,Steel,10,515
001-115-02428,Platinum/white Lady's Band Half Way Set With Diamond,Notched Band.001 115 02428 Nostylecode Platinum White Platinum  no Vendor Name Entered: From Conversion Half Way  lady's Band Ladys  lady ,https://www.ltdenny.com/shop/001-115-02428,https://s4.v360.in/images/company/308/imaged/001-115-02428/bA187.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02428/bA189.jpg,in stock,2800,,,200,LTDenny,NoStyleCode,new,adult,White,female,platinum,6.5,515
001-140-00423,"Platinum/white Engagement Ring Halo Set With Zironcium,diamond",.25ct Halo With Pave Dias.001 140 00423 Rm4914 Plt Platinum White Platinum  fredericsage Halo  engagement Ring,https://www.ltdenny.com/shop/001-140-00423,https://s4.v360.in/images/company/308/imaged/001-140-00423/bA12.jpg,https://s4.v360.in/images/company/308/imaged/001-140-00423/bA14.jpg,in stock,2995,,,200,FredericSage,RM4914-PLT,new,adult,White,female,platinum,5.75,515
001-110-00725,Palladium/white Gent's Band Metal,Grooved Palladium Band 6.5mm.001 110 00725 71 27030 Palladium White Palladium  furrer Jacot Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00725,https://s4.v360.in/images/company/308/imaged/001-110-00725/bA25.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00725/bA27.jpg,in stock,2600,,,200,LTDenny,71-27030,new,adult,White,male,palladium,10.5,515
001-115-02440,18kwg/white Lady's Band Half Way Set With Diamond,18kwg 1.39rcd.001 115 02440 Mr2450 18kwg White Gold  simon G Half Way  lady's Band Ladys  lady ,https://www.ltdenny.com/shop/001-115-02440,https://s4.v360.in/images/company/308/imaged/001-115-02440/bA5.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02440/bA7.jpg,in stock,1320,,,200,Simon G,MR2450,new,adult,White,female,18KWG,6.5,515
001-140-00429,"Platinum/white Engagement Ring Pave Set With Diamond,zironcium",.27ct Split Shank.001 140 00429 Rm4285 Plt Platinum White Platinum  fredericsage Pave  engagement Ring,https://www.ltdenny.com/shop/001-140-00429,https://s4.v360.in/images/company/308/imaged/001-140-00429/bA20.jpg,https://s4.v360.in/images/company/308/imaged/001-140-00429/bA22.jpg,in stock,3195,,,200,FredericSage,RM4285-PLT,new,adult,White,female,platinum,5.75,515
001-115-02449,18krg/rose Lady's Band Half Way Set With Diamond,18krgr D21=.24 For Janine's Birthday ;).001 115 02449 Lbb513 1 18krg Rose Gold  doves Half Way  lady's Band Dov  ladys  lady ,https://www.ltdenny.com/shop/001-115-02449,https://s4.v360.in/images/company/308/imaged/001-115-02449/bA33.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02449/bA35.jpg,out of stock,1500,,,200,Doves,LBB513-1,new,adult,Rose,female,18KRG,6.5,515
001-110-00767,18kwg/white Gent's Band Metal,"S10/8mm Weave Style, Satin Finish.001 110 00767 71 25220 0 0 080 18kwg White Gold  furrer Jacot Metal  gent's Band Men  men's  mens  male  gents  gent ",https://www.ltdenny.com/shop/001-110-00767,https://s4.v360.in/images/company/308/imaged/001-110-00767/bA25.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00767/bA27.jpg,in stock,3500,,,200,LTDenny,71-25220-0-0-080,new,adult,White,male,18KWG,9.75,515
001-140-00435,"Platinum/white Engagement Ring Pave Set With Zironcium,diamond",Plat .45ct.001 140 00435 Ht2627pr7 Platinum White Platinum  tacori Pave  engagement Ring,https://www.ltdenny.com/shop/001-140-00435,https://s4.v360.in/images/company/308/imaged/001-140-00435/bA21.jpg,https://s4.v360.in/images/company/308/imaged/001-140-00435/bA23.jpg,in stock,5690,,,200,Tacori,HT2627PR7,new,adult,White,female,platinum,6.25,515
001-110-00795,Platinum/white Gent's Band Metal,T   6mm. W/leaf Pattern.001 110 00795 Gu89me Platinum White Platinum  tacori Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00795,https://s4.v360.in/images/company/308/imaged/001-110-00795/bA37.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00795/bA39.jpg,in stock,4410,,,200,Tacori,GU89ME,new,adult,White,male,platinum,9.75,515
001-115-02454,Platinum/white Lady's Band Eternity Set With Diamond,"Precious Prong Eternity Lady's Band, Platinum, 20=.704 Ct D Stones.001 115 02454 Erpp117 Platinum White Platinum  memoire Eternity  lady's Band Ladys  lady ",https://www.ltdenny.com/shop/001-115-02454,https://s4.v360.in/images/company/308/imaged/001-115-02454/bA57.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02454/bA59.jpg,in stock,2100,,,200,Memoire,ERPP117,new,adult,White,female,platinum,5,515
001-140-00440,"Platinum/white Engagement Ring Solitaire Set With Diamond,zironcium",Plat .05ct Diam Ring.001 140 00440 2584rd6 Platinum White Platinum  tacori Solitaire  engagement Ring,https://www.ltdenny.com/shop/001-140-00440,https://s4.v360.in/images/company/308/imaged/001-140-00440/bA10.jpg,https://s4.v360.in/images/company/308/imaged/001-140-00440/bA12.jpg,in stock,2330,,,200,Tacori,2584RD6,new,adult,White,female,platinum,6.25,515
001-110-00810,18kwg/white Gent's Band Metal,Ta 6mm Sculpted Cres Band.001 110 00810 116 6w 18kwg White Gold  tacori Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00810,https://s4.v360.in/images/company/308/imaged/001-110-00810/bA101.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00810/bA103.jpg,in stock,2220,,,200,Tacori,116-6W,new,adult,White,male,18KWG,10.5,515
001-115-02460,Platinum/white Lady's Band Eternity Set With Diamond,"Precious Prong Eternity Band, Platinum, 20=1.071 Ct D Stones.001 115 02460 Erp118xgg Platinum White Platinum  memoire Eternity  lady's Band Ladys  lady ",https://www.ltdenny.com/shop/001-115-02460,https://s4.v360.in/images/company/308/imaged/001-115-02460/bA61.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02460/bA63.jpg,in stock,3000,,,200,Memoire,ERP118xgg,new,adult,White,female,platinum,5.5,515
001-140-00445,"18kyg/yellow Engagement Ring Solitaire Set With Zironcium,diamond",18kt Yg .20ct Diam(hi Polished Ceiling).001 140 00445 Ht2625rd8y 18kyg Yellow Gold  tacori Solitaire  engagement Ring,https://www.ltdenny.com/shop/001-140-00445,https://s4.v360.in/images/company/308/imaged/001-140-00445/bA153.jpg,https://s4.v360.in/images/company/308/imaged/001-140-00445/bA155.jpg,out of stock,3790,,,200,Tacori,HT2625RD8Y,new,adult,Yellow,female,18KYG,6.25,515
001-110-00817,Silver/white Gent's Band Metal,Tubetto 4mm Band *18k Price.001 110 00817 Tm104 4 Silver White Silver  danhov Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00817,https://s4.v360.in/images/company/308/imaged/001-110-00817/bA33.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00817/bA35.jpg,in stock,400,,,200,Danhov,TM104-4,new,adult,White,male,Silver,10,515
001-115-02465,Platinum/white Lady's Band Eternity Set With Diamond,"Precious Prong Eternity Band, Platinum, 19=.982ct D Stones.001 115 02465 Erp118 Platinum White Platinum  memoire Eternity  lady's Band Ladys  lady ",https://www.ltdenny.com/shop/001-115-02465,https://s4.v360.in/images/company/308/imaged/001-115-02465/bA61.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02465/bA63.jpg,in stock,3000,,,200,Memoire,ERP118,new,adult,White,female,platinum,5,515
001-140-01256,Platinum/white Engagement Ring Solitaire Set With Zironcium,5.5 5.9mm.001 140 01256 48pr5.5 Platinum White Platinum  tacori Solitaire  engagement Ring,https://www.ltdenny.com/shop/001-140-01256,https://s4.v360.in/images/company/308/imaged/001-140-01256/bA45.jpg,https://s4.v360.in/images/company/308/imaged/001-140-01256/bA47.jpg,in stock,1920,,,200,Tacori,48PR5.5,new,adult,White,female,platinum,6.25,515
001-110-00822,Silver/white Gent's Band Metal,Tubetto 6mm Domed *18k Price.001 110 00822 Tm108 6 Silver White Silver  danhov Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00822,https://s4.v360.in/images/company/308/imaged/001-110-00822/bA60.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00822/bA62.jpg,in stock,400,,,200,Danhov,TM108-6,new,adult,White,male,Silver,11,515
001-115-02472,Platinum/white Lady's Band Half Way Set With Diamond,Pt Band .560 Size 6.5.001 115 02472 Lr1083 Platinum White Platinum  simon G Half Way  lady's Band Ladys  lady ,https://www.ltdenny.com/shop/001-115-02472,https://s4.v360.in/images/company/308/imaged/001-115-02472/bA1.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02472/bA3.jpg,in stock,2925,,,200,Simon G,LR1083,new,adult,White,female,platinum,6.5,515
001-140-01261,Platinum/white Engagement Ring Solitaire Set With Zironcium,5.5 5.9mm.001 140 01261 51pr5.5 Platinum White Platinum  tacori Solitaire  engagement Ring,https://www.ltdenny.com/shop/001-140-01261,https://s4.v360.in/images/company/308/imaged/001-140-01261/bA21.jpg,https://s4.v360.in/images/company/308/imaged/001-140-01261/bA23.jpg,out of stock,2290,,,200,Tacori,51PR5.5,new,adult,White,female,platinum,6.5,515
001-110-00829,Silver/white Gent's Band Metal,Tubetto 8mm Domed *18k Price.001 110 00829 Tm106 8 Silver White Silver  danhov Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00829,https://s4.v360.in/images/company/308/imaged/001-110-00829/bA13.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00829/bA15.jpg,in stock,450,,,200,Danhov,TM106-8,new,adult,White,male,Silver,10.5,515
001-115-02477,18krg/rose Lady's Band Three Quarters Set With Diamond,Round Pear Stacking Milgrain Band Gh Si1 At .07ct Total.001 115 02477 Ersur07 18krg Rose Gold  memoire Three Quarters  lady's Band Three Quarte  ladys  lady ,https://www.ltdenny.com/shop/001-115-02477,https://s4.v360.in/images/company/308/imaged/001-115-02477/bA90.jpg,https://s4.v360.in/images/company/308/imaged/001-115-02477/bA92.jpg,in stock,450,,,200,Memoire,ERSUR07,new,adult,Rose,female,18KRG,5.5,515
001-140-01267,"Platinum/white Engagement Ring Threestone Set With Diamond,zironcium",6 6.4mm.001 140 01267 Ht2526pr6 Platinum White Platinum  tacori Threestone  engagement Ring,https://www.ltdenny.com/shop/001-140-01267,https://s4.v360.in/images/company/308/imaged/001-140-01267/bA71.jpg,https://s4.v360.in/images/company/308/imaged/001-140-01267/bA73.jpg,in stock,8840,,,200,Tacori,HT2526PR6,new,adult,White,female,platinum,6.25,515
001-110-00855,Meteorite/palladium/white Gent's Band Metal,Gibeon Meteorite With A Rolled Edge Of Pd.001 110 00855 Mt Arcturus Meteorite/palladium White Meteorite/palladium  chrisploof Metal  gent's Band Men  men's  mens  male  gents  gent ,https://www.ltdenny.com/shop/001-110-00855,https://s4.v360.in/images/company/308/imaged/001-110-00855/bA17.jpg,https://s4.v360.in/images/company/308/imaged/001-110-00855/bA19.jpg,in stock,3690,,,200,ChrisPloof,MT-ARCTURUS,new,adult,White,male,Meteorite/Palladium,10,515
